Title,Release Year,Duration,Director,Main Cast,Genre 1,Genre 2
"O Brother, Where Art Thou?",2000,107 min.,Joel & Ethan Coen,George Clooney,Americana,Buddy Film
Roman Holiday,1953,118 min.,William Wyler,Audrey Hepburn,Comedy,Romance
There Will Be Blood,2007,158 min.,Paul Thomas Anderson,Daniel Day-Lewis,Based-on-20th-Century-Literature,Drama
Rain Man,1988,133 min.,Barry Levinson,Dustin Hoffman,Drama,Family Drama
The Exorcist,1973,122 min.,William Friedkin,Ellen Burstyn,Based-on-20th-Century-Literature,Drama
Arsenic and Old Lace,1944,118 min.,Frank Capra,Priscilla Lane,Based-on-Theatre,Black Comedy
The Magnificent Seven,1960,128 min.,John Sturges,Yul Brynner,Buddy Film,Ensemble Film
Sansho the Bailiff,1954,124 min.,Kenji Mizoguchi,Kyoko Kagawa,Drama,Foreign Language Film
The Deer Hunter,1978,182 min.,Michael Cimino,Robert De Niro,Anti-War Film,Drama
The Last Picture Show,1971,118 min.,Peter Bogdanovich,Timothy Bottoms,Americana,Coming-of-Age
Trainspotting,1996,94 min.,Danny Boyle,Ewan McGregor,Addiction Drama,Buddy Film
Blazing Saddles,1974,93 min.,Mel Brooks,Cleavon Little,Comedy Western,Comedy
Snatch.,2000,102 min.,Guy Ritchie,Benicio Del Toro,Black Comedy,Caper
Batman,1989,126 min.,Tim Burton,Michael Keaton,Action,Based-on-Comics
The Blues Brothers,1980,148 min.,John Landis,John Belushi,Absurd Comedy,Action Comedy
The Fugitive,1993,130 min.,Andrew Davis,Harrison Ford,Action Thriller,Action
The Umbrellas of Cherbourg,1964,91 min.,Jacques Demy,Catherine Deneuve,Drama,Foreign Language Film
"Monsters, Inc.",2001,92 min.,Pete Docter,Billy Crystal,Animation,Comedy
Suspiria,1977,98 min.,Dario Argento,Jessica Harper,Fantasy,Gothic Film
Le Cercle Rouge,1970,140 min.,Jean-Pierre Melville,François Perier,Caper,Crime Thriller
Nights of Cabiria,1957,117 min.,Federico Fellini,Giulietta Masina,Drama,Foreign Language Film
L.A. Confidential,1997,138 min.,Curtis Hanson,Kevin Spacey,Based-on-20th-Century-Literature,Crime Drama
The Innocents,1961,100 min.,Jack Clayton,Deborah Kerr,Based-on-19th-Century-Literature,British New Wave
The Virgin Spring,1960,89 min.,Ingmar Bergman,Max von Sydow,Crime Drama,Crime
Catch Me If You Can,2002,141 min.,Steven Spielberg,Leonardo DiCaprio,Based-on-20th-Century-Literature,Based-on-a-True-Story
Guardians of the Galaxy,2014,122 min.,James Gunn,Chris Pratt,Action,Adventure
